,MW,EXACT_MW,LOGP,TPSA,ATOM,HBA,HBD,ROTB,AROM,ALERTS,DL
count,21153.0,21153.0,21153.0,21153.0,21153.0,21153.0,21153.0,21153.0,21153.0,21153.0,21153.0
mean,439.95022544748645,439.6461229508707,2.217606013331442,122.95837706235524,63.20966293197183,7.134496288942467,3.8138798279203896,6.551789344301045,1.1179501725523566,1.3317259963125798,0.40098029210734504
std,285.7789604621296,285.60402677996854,3.1084372434047096,115.56648145681297,40.76672337720804,6.901129201086777,4.320947403499682,6.122147344182618,1.3591650138122553,1.128331315056526,0.2311520018830607
min,22.98976928,22.98976928,-13.515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007410612750002372
25%,238.371,238.193280077,0.295,40.46,37.0,2.0,1.0,2.0,0.0,0.0,0.18601088112181868
50%,368.385,368.125988364,2.292,86.99,52.0,5.0,2.0,5.0,1.0,1.0,0.4096676908548475
75%,550.557,550.189770395,3.892,175.37,78.0,10.0,6.0,9.0,2.0,2.0,0.5837616078101
max,3965.256,3962.684770501,27.138,1594.26,434.0,81.0,63.0,66.0,27.0,6.0,0.9430999953936438
